,YEAR,MONTH,DAY,TYPE,PERIOD,SEASON,NEIGHBOURHOOD,Counts
84,2022,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Central Business District,6
85,2015,7,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Sunset,3
86,2017,5,1,Other Theft,PM,Spring,Central Business District,315
87,2017,4,1,Theft from Vehicle,AM,Spring,Dunbar-Southlands,4
88,2019,10,1,Break and Enter Residential/Other,AM,Autumn,Kerrisdale,5
89,2018,8,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Riley Park,1
90,2018,4,1,Theft of Vehicle,PM,Spring,Kensington-Cedar Cottage,9
91,2017,9,1,Mischief,AM,Summer,Mount Pleasant,8
92,2016,6,1,Theft from Vehicle,AM,Spring,Victoria-Fraserview,2
93,2020,1,1,Break and Enter Commercial,AM,Winter,Mount Pleasant,19
94,2020,4,1,Other Theft,AM,Spring,South Cambie,8
95,2019,5,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Hastings-Sunrise,5
96,2012,12,1,Theft of Vehicle,PM,Autumn,Victoria-Fraserview,1
97,2020,7,1,Theft of Bicycle,PM,Summer,Marpole,1
98,2018,6,1,Theft of Vehicle,AM,Summer,Central Business District,2
99,2013,5,1,Offence Against a Person,AM,Spring,South Cambie,3
100,2021,12,1,Break and Enter Residential/Other,PM,Autumn,Oakridge,4
101,2022,12,1,Theft of Vehicle,PM,Autumn,Mount Pleasant,1
102,2012,5,1,Break and Enter Commercial,AM,Spring,Stanley Park,1
103,2018,12,1,Other Theft,AM,Autumn,Central Business District,66
104,2014,3,1,Other Theft,AM,Spring,Fairview,3
105,2020,9,1,Theft of Bicycle,AM,Summer,Shaughnessy,1
106,2020,9,1,Theft of Vehicle,AM,Summer,Kensington-Cedar Cottage,1
107,2020,1,1,Theft of Bicycle,AM,Winter,Renfrew-Collingwood,1
108,2022,6,1,Break and Enter Residential/Other,AM,Spring,Oakridge,2
109,2021,3,1,Break and Enter Residential/Other,AM,Winter,Sunset,2
110,2014,1,1,Offence Against a Person,AM,Winter,Renfrew-Collingwood,12
111,2019,5,1,Offence Against a Person,AM,Spring,Arbutus Ridge,3
112,2013,6,1,Break and Enter Residential/Other,AM,Spring,Arbutus Ridge,2
113,2012,11,1,Theft from Vehicle,AM,Autumn,Fairview,17
114,2016,2,1,Mischief,AM,Winter,Kerrisdale,4
115,2013,5,1,Break and Enter Commercial,PM,Spring,Oakridge,1
116,2013,2,1,Theft of Bicycle,AM,Winter,Dunbar-Southlands,1
117,2017,9,1,Theft from Vehicle,PM,Autumn,Killarney,10
118,2019,2,1,Theft from Vehicle,PM,Winter,Kitsilano,31
119,2020,7,1,Break and Enter Commercial,AM,Summer,Marpole,4
120,2019,12,1,Theft from Vehicle,PM,Autumn,Hastings-Sunrise,27
121,2017,9,1,Mischief,AM,Summer,Renfrew-Collingwood,12
122,2018,8,1,Offence Against a Person,AM,Summer,Mount Pleasant,13
123,2016,9,1,Theft of Vehicle,AM,Summer,Strathcona,1
124,2022,10,1,Break and Enter Residential/Other,AM,Autumn,Renfrew-Collingwood,2
125,2017,2,1,Break and Enter Commercial,PM,Winter,Marpole,2
126,2021,11,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Renfrew-Collingwood,8
127,2015,4,1,Theft from Vehicle,PM,Spring,Kensington-Cedar Cottage,28
128,2017,3,1,Theft of Vehicle,PM,Winter,Sunset,4
129,2014,7,1,Break and Enter Commercial,PM,Summer,Oakridge,1
130,2019,1,1,Theft of Bicycle,PM,Winter,Marpole,1
131,2014,1,1,Break and Enter Residential/Other,PM,Winter,Grandview-Woodland,7
132,2022,2,1,Break and Enter Commercial,AM,Winter,Renfrew-Collingwood,1
133,2017,12,1,Mischief,PM,Autumn,Kitsilano,8
134,2019,10,1,Break and Enter Commercial,PM,Autumn,Riley Park,3
135,2019,2,1,Mischief,PM,Winter,Central Business District,71
136,2017,11,1,Other Theft,AM,Autumn,Shaughnessy,2
137,2022,1,1,Mischief,PM,Winter,Shaughnessy,1
138,2020,3,1,Break and Enter Commercial,AM,Winter,Marpole,2
139,2017,12,1,Break and Enter Residential/Other,PM,Autumn,Mount Pleasant,7
140,2015,12,1,Theft of Vehicle,AM,Winter,Central Business District,1
141,2017,2,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Stanley Park,1
142,2012,9,1,Break and Enter Residential/Other,AM,Summer,Renfrew-Collingwood,11
143,2012,9,1,Offence Against a Person,AM,Summer,Marpole,2
144,2018,6,1,Theft from Vehicle,PM,Summer,Victoria-Fraserview,1
145,2018,4,1,Theft from Vehicle,AM,Spring,Grandview-Woodland,10
146,2022,10,1,Theft from Vehicle,PM,Autumn,Strathcona,42
147,2022,4,1,Theft of Vehicle,AM,Spring,Riley Park,1
148,2015,5,1,Theft of Vehicle,AM,Spring,Strathcona,3
149,2016,6,1,Other Theft,AM,Summer,Kerrisdale,1
150,2015,3,1,Mischief,PM,Spring,Hastings-Sunrise,2
151,2021,3,1,Other Theft,PM,Spring,Kitsilano,8
152,2017,7,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Mount Pleasant,2
153,2014,6,1,Mischief,AM,Spring,Central Business District,29
154,2014,5,1,Theft from Vehicle,PM,Spring,Kitsilano,32
155,2019,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Mount Pleasant,1
156,2018,12,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Oakridge,1
157,2014,6,1,Mischief,PM,Spring,Riley Park,5
158,2016,10,1,Break and Enter Commercial,AM,Autumn,Victoria-Fraserview,2
159,2015,3,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Fairview,1
160,2016,3,1,Break and Enter Commercial,PM,Winter,Hastings-Sunrise,1
161,2017,4,1,Break and Enter Residential/Other,AM,Spring,Arbutus Ridge,1
162,2014,7,1,Theft of Vehicle,AM,Summer,Sunset,2
163,2017,3,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Kensington-Cedar Cottage,1
164,2016,5,1,Theft from Vehicle,AM,Spring,Grandview-Woodland,12
165,2012,12,1,Mischief,AM,Autumn,Kerrisdale,3
166,2021,9,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Central Business District,4
167,2012,6,1,Theft of Vehicle,AM,Spring,Fairview,1
168,2015,8,1,Theft of Vehicle,PM,Summer,Kerrisdale,1
169,2014,7,1,Theft of Vehicle,PM,Summer,Central Business District,4
170,2021,3,1,Other Theft,AM,Spring,Strathcona,5
171,2012,12,1,Break and Enter Commercial,AM,Autumn,Kensington-Cedar Cottage,3
172,2022,9,1,Other Theft,PM,Summer,West End,35
173,2014,3,1,Break and Enter Residential/Other,AM,Winter,Kitsilano,3
174,2019,7,1,Theft from Vehicle,PM,Summer,Stanley Park,4
175,2013,4,1,Theft of Vehicle,AM,Spring,Strathcona,3
176,2022,7,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Kitsilano,4
177,2013,8,1,Theft from Vehicle,PM,Summer,Stanley Park,16
178,2016,7,1,Offence Against a Person,AM,Summer,Stanley Park,2
179,2015,8,1,Break and Enter Residential/Other,PM,Summer,West End,4
180,2018,7,1,Homicide,AM,Summer,Central Business District,1
181,2012,9,1,Theft from Vehicle,PM,Autumn,Grandview-Woodland,3
182,2019,7,1,Offence Against a Person,AM,Summer,Riley Park,3
183,2018,12,1,Theft from Vehicle,PM,Autumn,Grandview-Woodland,27
184,2014,8,1,Offence Against a Person,AM,Summer,Marpole,1
185,2014,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Fairview,3
186,2019,3,1,Theft of Bicycle,AM,Winter,Victoria-Fraserview,1
187,2020,1,1,Other Theft,PM,Winter,Killarney,8
188,2016,9,1,Mischief,AM,Autumn,Mount Pleasant,5
189,2014,2,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Arbutus Ridge,2
190,2014,10,1,Theft of Bicycle,AM,Autumn,Marpole,2
191,2018,9,1,Other Theft,AM,Autumn,West End,2
192,2018,7,1,Break and Enter Commercial,AM,Summer,West End,4
193,2019,10,1,Break and Enter Residential/Other,AM,Autumn,Grandview-Woodland,6
194,2021,3,1,Theft of Bicycle,PM,Winter,Kitsilano,5
195,2016,1,1,Other Theft,AM,Winter,Arbutus Ridge,2
196,2012,7,1,Break and Enter Commercial,AM,Summer,Fairview,8
197,2017,3,1,Offence Against a Person,AM,Spring,West End,17
198,2018,5,1,Theft of Vehicle,AM,Spring,Shaughnessy,1
199,2020,5,1,Break and Enter Commercial,PM,Spring,Sunset,1
200,2021,3,1,Break and Enter Commercial,AM,Spring,South Cambie,1
201,2017,3,1,Break and Enter Residential/Other,PM,Winter,Fairview,2
202,2020,7,1,Mischief,AM,Summer,Sunset,9
203,2016,9,1,Mischief,PM,Autumn,Mount Pleasant,4
204,2014,10,1,Theft of Vehicle,AM,Autumn,Central Business District,4
205,2022,3,1,Mischief,PM,Winter,Fairview,6
206,2019,9,1,Theft from Vehicle,PM,Summer,Kitsilano,29
207,2013,8,1,Theft from Vehicle,AM,Summer,Victoria-Fraserview,3
208,2012,9,1,Break and Enter Residential/Other,AM,Autumn,Marpole,1
209,2014,6,1,Theft of Bicycle,AM,Spring,Central Business District,17
210,2017,4,1,Theft of Bicycle,PM,Spring,Kitsilano,8
211,2013,3,1,Theft from Vehicle,AM,Winter,Kensington-Cedar Cottage,6
212,2017,9,1,Other Theft,AM,Autumn,Central Business District,30
213,2022,12,1,Mischief,PM,Winter,Central Business District,34
214,2016,9,1,Theft of Vehicle,PM,Autumn,Marpole,2
215,2012,3,1,Break and Enter Residential/Other,AM,Spring,Strathcona,1
216,2013,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Central Business District,2
217,2015,3,1,Break and Enter Residential/Other,PM,Spring,Grandview-Woodland,2
218,2021,12,1,Theft of Vehicle,AM,Winter,Marpole,1
219,2018,6,1,Mischief,AM,Summer,Strathcona,4
220,2021,3,1,Theft from Vehicle,AM,Winter,South Cambie,2
221,2014,1,1,Theft of Vehicle,PM,Winter,Kitsilano,6
222,2019,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Kensington-Cedar Cottage,3
223,2012,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Renfrew-Collingwood,2
224,2017,12,1,Theft from Vehicle,PM,Winter,Killarney,4
225,2015,11,1,Offence Against a Person,AM,Autumn,Killarney,4
226,2015,4,1,Break and Enter Residential/Other,PM,Spring,Fairview,10
227,2022,9,1,Other Theft,PM,Autumn,Grandview-Woodland,2
228,2013,2,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Grandview-Woodland,3
229,2018,12,1,Offence Against a Person,AM,Autumn,Kensington-Cedar Cottage,3
230,2012,9,1,Other Theft,PM,Summer,Sunset,17
231,2012,6,1,Break and Enter Residential/Other,AM,Spring,Dunbar-Southlands,6
232,2020,12,1,Break and Enter Residential/Other,PM,Winter,Riley Park,1
233,2018,9,1,Other Theft,PM,Autumn,Fairview,6
234,2016,3,1,Other Theft,PM,Spring,Central Business District,86
235,2015,6,1,Break and Enter Residential/Other,AM,Summer,Mount Pleasant,1
236,2020,12,1,Break and Enter Commercial,AM,Autumn,South Cambie,2
237,2019,3,1,Other Theft,AM,Winter,Mount Pleasant,16
238,2013,8,1,Theft of Bicycle,AM,Summer,West End,12
239,2013,3,1,Break and Enter Commercial,AM,Winter,Renfrew-Collingwood,6
240,2021,1,1,Theft of Bicycle,AM,Winter,Marpole,1
241,2015,5,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,West End,4
242,2013,5,1,Break and Enter Commercial,AM,Spring,Marpole,2
243,2018,10,1,Theft of Bicycle,PM,Autumn,Sunset,2
244,2019,6,1,Theft from Vehicle,PM,Summer,Riley Park,5
245,2022,8,1,Theft of Vehicle,AM,Summer,West End,3
246,2012,10,1,Mischief,AM,Autumn,Kensington-Cedar Cottage,8
247,2022,9,1,Theft from Vehicle,AM,Autumn,Kensington-Cedar Cottage,3
248,2016,6,1,Mischief,PM,Summer,Grandview-Woodland,4
249,2021,3,1,Break and Enter Commercial,AM,Spring,Kitsilano,4
250,2012,10,1,Break and Enter Residential/Other,PM,Autumn,Renfrew-Collingwood,4
251,2017,6,1,Theft from Vehicle,PM,Spring,Shaughnessy,10
252,2020,7,1,Theft of Vehicle,AM,Summer,Killarney,2
253,2021,9,1,Theft from Vehicle,AM,Autumn,Renfrew-Collingwood,4
254,2016,7,1,Break and Enter Commercial,PM,Summer,Kensington-Cedar Cottage,2
255,2015,5,1,Theft of Vehicle,PM,Spring,Renfrew-Collingwood,7
256,2017,6,1,Other Theft,PM,Summer,South Cambie,2
257,2018,10,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Renfrew-Collingwood,10
258,2015,9,1,Theft of Vehicle,PM,Autumn,West Point Grey,1
259,2016,1,1,Mischief,AM,Winter,Kitsilano,6
260,2017,5,1,Offence Against a Person,AM,Spring,West End,39
261,2016,5,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Grandview-Woodland,6
262,2020,3,1,Other Theft,PM,Winter,Stanley Park,2
263,2014,8,1,Break and Enter Commercial,AM,Summer,Kerrisdale,1
264,2019,8,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,West End,1
265,2017,12,1,Break and Enter Residential/Other,AM,Autumn,Oakridge,1
266,2021,9,1,Mischief,PM,Autumn,Hastings-Sunrise,6
267,2019,7,1,Break and Enter Residential/Other,PM,Summer,Riley Park,4
268,2020,8,1,Vehicle Collision or Pedestrian Struck (with Fatality),PM,Summer,Riley Park,1
269,2012,11,1,Break and Enter Commercial,PM,Autumn,Kensington-Cedar Cottage,1
270,2021,12,1,Theft of Vehicle,AM,Autumn,Shaughnessy,1
271,2015,2,1,Theft of Vehicle,PM,Winter,Kitsilano,3
272,2012,11,1,Break and Enter Residential/Other,AM,Autumn,South Cambie,6
273,2022,3,1,Other Theft,PM,Winter,Kitsilano,12
274,2019,6,1,Theft of Bicycle,PM,Summer,Stanley Park,1
275,2013,11,1,Offence Against a Person,AM,Autumn,Arbutus Ridge,3
276,2017,1,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Central Business District,10
277,2021,8,1,Break and Enter Residential/Other,PM,Summer,West Point Grey,3
278,2022,3,1,Theft of Bicycle,AM,Spring,Kerrisdale,1
279,2021,11,1,Mischief,AM,Autumn,Kitsilano,5
280,2015,7,1,Other Theft,AM,Summer,Dunbar-Southlands,1
281,2020,3,1,Theft of Bicycle,AM,Winter,Kensington-Cedar Cottage,3
282,2022,5,1,Theft of Bicycle,AM,Spring,South Cambie,4
283,2016,1,1,Theft of Vehicle,AM,Winter,Kitsilano,1
284,2012,11,1,Break and Enter Commercial,AM,Autumn,Fairview,9
285,2019,9,1,Break and Enter Commercial,AM,Summer,Riley Park,2
286,2020,8,1,Theft from Vehicle,PM,Summer,Dunbar-Southlands,10
287,2012,12,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Fairview,4
288,2020,8,1,Theft from Vehicle,PM,Summer,Sunset,19
289,2022,10,1,Theft of Vehicle,AM,Autumn,Killarney,1
290,2019,3,1,Theft of Vehicle,AM,Spring,Kitsilano,1
291,2022,8,1,Break and Enter Commercial,AM,Summer,West End,14
292,2018,1,1,Break and Enter Residential/Other,PM,Winter,South Cambie,2
293,2020,11,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Riley Park,2
294,2014,6,1,Break and Enter Residential/Other,PM,Summer,Kensington-Cedar Cottage,4
295,2012,1,1,Mischief,PM,Winter,Kensington-Cedar Cottage,15
296,2022,11,1,Mischief,PM,Autumn,Kensington-Cedar Cottage,11
297,2022,12,1,Theft from Vehicle,PM,Winter,Kitsilano,5
298,2014,7,1,Theft from Vehicle,AM,Summer,Dunbar-Southlands,9
299,2018,12,1,Mischief,AM,Winter,Sunset,2
300,2014,3,1,Theft of Bicycle,PM,Spring,Fairview,5
301,2022,11,1,Offence Against a Person,AM,Autumn,Oakridge,1
302,2019,3,1,Mischief,AM,Spring,Kensington-Cedar Cottage,3
303,2017,12,1,Other Theft,AM,Winter,Killarney,2
304,2022,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Shaughnessy,3
305,2013,11,1,Theft of Bicycle,AM,Autumn,Fairview,4
306,2013,10,1,Theft of Bicycle,PM,Autumn,Fairview,19
307,2018,6,1,Mischief,PM,Spring,Kensington-Cedar Cottage,7
308,2018,3,1,Other Theft,AM,Winter,Central Business District,69
309,2017,6,1,Mischief,PM,Spring,West End,9
310,2016,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Central Business District,4
311,2012,3,1,Other Theft,PM,Spring,Kensington-Cedar Cottage,13
312,2022,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Sunset,1
313,2015,5,1,Break and Enter Residential/Other,AM,Spring,Arbutus Ridge,1
314,2021,9,1,Break and Enter Residential/Other,AM,Summer,Strathcona,2
315,2019,10,1,Offence Against a Person,AM,Autumn,Marpole,6
316,2013,11,1,Break and Enter Residential/Other,AM,Autumn,West End,2
317,2017,12,1,Break and Enter Residential/Other,PM,Autumn,Victoria-Fraserview,5
318,2022,12,1,Theft from Vehicle,AM,Autumn,Victoria-Fraserview,3
319,2016,12,1,Mischief,AM,Autumn,Strathcona,12
320,2019,1,1,Break and Enter Residential/Other,PM,Winter,Mount Pleasant,1
321,2020,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Kitsilano,1
322,2018,12,1,Mischief,PM,Winter,Oakridge,1
323,2020,11,1,Break and Enter Residential/Other,AM,Autumn,Marpole,3
324,2014,2,1,Break and Enter Residential/Other,AM,Winter,Riley Park,4
325,2021,6,1,Theft from Vehicle,AM,Spring,Victoria-Fraserview,3
326,2018,9,1,Theft from Vehicle,PM,Summer,South Cambie,4
327,2020,1,1,Break and Enter Residential/Other,AM,Winter,Oakridge,2
328,2014,12,1,Other Theft,PM,Autumn,Riley Park,7
329,2017,5,1,Other Theft,AM,Spring,Sunset,2
330,2013,12,1,Mischief,AM,Winter,Renfrew-Collingwood,1
331,2013,12,1,Theft from Vehicle,PM,Autumn,Renfrew-Collingwood,24
332,2016,4,1,Break and Enter Residential/Other,AM,Spring,Grandview-Woodland,4
333,2022,4,1,Break and Enter Commercial,PM,Spring,Kensington-Cedar Cottage,5
334,2020,5,1,Other Theft,PM,Spring,Strathcona,19
335,2021,9,1,Other Theft,AM,Summer,Mount Pleasant,17
336,2018,3,1,Other Theft,AM,Spring,South Cambie,3
337,2017,2,1,Mischief,PM,Winter,West Point Grey,1
338,2013,1,1,Theft from Vehicle,AM,Winter,Strathcona,10
339,2015,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Stanley Park,1
340,2019,12,1,Theft from Vehicle,AM,Autumn,Kensington-Cedar Cottage,5
341,2019,12,1,Theft from Vehicle,PM,Winter,Victoria-Fraserview,4
342,2019,11,1,Break and Enter Commercial,AM,Autumn,Dunbar-Southlands,1
343,2013,5,1,Theft of Bicycle,AM,Spring,Kitsilano,5
344,2014,3,1,Break and Enter Residential/Other,PM,Spring,Kensington-Cedar Cottage,5
345,2015,9,1,Theft from Vehicle,AM,Summer,Hastings-Sunrise,6
346,2020,11,1,Mischief,AM,Autumn,Central Business District,71
347,2016,3,1,Mischief,AM,Spring,Fairview,3
348,2014,6,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Strathcona,1
349,2018,6,1,Theft of Vehicle,AM,Summer,Kitsilano,1
350,2019,6,1,Theft from Vehicle,PM,Spring,Strathcona,48
351,2019,2,1,Other Theft,AM,Winter,Marpole,7
352,2017,9,1,Other Theft,AM,Autumn,Renfrew-Collingwood,4
353,2016,6,1,Break and Enter Commercial,PM,Summer,Mount Pleasant,2
354,2012,2,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Fairview,3
355,2017,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Sunset,1
356,2016,12,1,Offence Against a Person,AM,Winter,Kitsilano,3
357,2015,10,1,Break and Enter Commercial,PM,Autumn,Kensington-Cedar Cottage,2
358,2019,3,1,Other Theft,AM,Winter,West End,10
359,2022,5,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Riley Park,1
360,2022,7,1,Offence Against a Person,AM,Summer,Dunbar-Southlands,3
361,2022,2,1,Break and Enter Residential/Other,PM,Winter,West End,1
362,2012,1,1,Theft of Vehicle,PM,Winter,Victoria-Fraserview,3
363,2016,11,1,Offence Against a Person,AM,Autumn,West Point Grey,1
364,2018,12,1,Theft of Vehicle,AM,Winter,Riley Park,1
365,2020,5,1,Mischief,AM,Spring,Killarney,3
366,2016,1,1,Other Theft,AM,Winter,Killarney,1
367,2013,12,1,Theft from Vehicle,PM,Winter,Riley Park,8
368,2012,3,1,Mischief,AM,Winter,Oakridge,1
369,2021,4,1,Theft of Vehicle,AM,Spring,Renfrew-Collingwood,1
370,2018,7,1,Break and Enter Commercial,AM,Summer,Hastings-Sunrise,1
371,2017,12,1,Theft of Vehicle,AM,Autumn,Kerrisdale,1
372,2012,10,1,Theft of Vehicle,PM,Autumn,Strathcona,8
373,2017,8,1,Break and Enter Commercial,AM,Summer,Central Business District,35
374,2012,6,1,Theft from Vehicle,PM,Summer,Mount Pleasant,5
375,2013,12,1,Other Theft,AM,Autumn,Kitsilano,1
