,TYPE,YEAR,MONTH,NEIGHBOURHOOD,Lat,Long,SEASON
110,Other Theft,2019,12,Central Business District,49.28364885531069,-123.12214420325974,Autumn
111,Theft from Vehicle,2019,11,Sunset,49.21047491642707,-123.10660647881004,Autumn
112,Theft from Vehicle,2019,6,Strathcona,49.28129875080315,-123.09962485408784,Spring
113,Theft of Bicycle,2020,10,Strathcona,49.27751604586365,-123.0892018138982,Autumn
114,Break and Enter Commercial,2020,8,Central Business District,49.27973475150106,-123.10239729970034,Summer
115,Theft from Vehicle,2019,7,Kensington-Cedar Cottage,49.25251716899344,-123.07344118229544,Summer
116,Theft from Vehicle,2020,12,Kitsilano,49.26137035322095,-123.1707853305834,Winter
117,Theft of Bicycle,2022,9,Central Business District,49.28560119496568,-123.11939159902116,Autumn
118,Other Theft,2021,5,Sunset,49.21069199319222,-123.09920889068216,Spring
119,Other Theft,2018,1,Central Business District,49.28246309515364,-123.10706011076616,Winter
120,Other Theft,2022,11,Central Business District,49.28131875756964,-123.09975033147164,Autumn
121,Theft from Vehicle,2018,6,Central Business District,49.28252635860801,-123.1181221428289,Spring
122,Other Theft,2018,12,Marpole,49.21352977617088,-123.12598941930644,Autumn
123,Theft from Vehicle,2021,12,Central Business District,49.27839835054392,-123.12440016664443,Autumn
124,Theft of Vehicle,2022,5,Strathcona,49.282259146795184,-123.099569769707,Spring
125,Theft from Vehicle,2018,12,Sunset,49.22348844696633,-123.0816588619295,Winter
126,Other Theft,2020,8,Central Business District,49.28305575407971,-123.1225263696193,Summer
127,Theft from Vehicle,2022,3,West End,49.28664034061372,-123.13002125051014,Winter
128,Other Theft,2022,6,Kerrisdale,49.234524479121525,-123.15417612911102,Summer
129,Break and Enter Residential/Other,2021,3,Dunbar-Southlands,49.2460801952997,-123.17193438679868,Spring
130,Other Theft,2019,3,Mount Pleasant,49.26310440444225,-123.10736666808046,Winter
131,Theft from Vehicle,2020,8,Kensington-Cedar Cottage,49.24324218604652,-123.06519273239172,Summer
132,Other Theft,2018,6,Central Business District,49.28370661881943,-123.11147676942367,Summer
133,Theft from Vehicle,2021,8,Sunset,49.22447958884434,-123.08395251767864,Summer
134,Theft from Vehicle,2019,2,Strathcona,49.28185060227745,-123.09946611047818,Winter
135,Other Theft,2018,3,Central Business District,49.28231321783616,-123.10216334206046,Winter
136,Mischief,2022,10,Central Business District,49.286285794754086,-123.11228510168084,Autumn
137,Theft from Vehicle,2018,1,Fairview,49.26367624645602,-123.1420583759069,Winter
138,Theft from Vehicle,2018,9,Central Business District,49.27789150177952,-123.11037470566394,Summer
139,Theft from Vehicle,2021,10,Central Business District,49.28943150995187,-123.12501473473937,Autumn
140,Mischief,2020,5,Fairview,49.26422032659492,-123.11762325839275,Spring
141,Theft from Vehicle,2022,1,Central Business District,49.28406952749581,-123.11004454134996,Winter
142,Mischief,2022,4,Kensington-Cedar Cottage,49.25772723774917,-123.06980524793173,Spring
143,Theft from Vehicle,2020,1,Sunset,49.2300836070158,-123.0927885566666,Winter
144,Theft from Vehicle,2022,9,Sunset,49.232506185471166,-123.09463654764728,Summer
145,Mischief,2022,7,Central Business District,49.28066129689714,-123.11880090095708,Summer
146,Theft from Vehicle,2022,9,Central Business District,49.28717299973595,-123.11499472076632,Summer
147,Theft from Vehicle,2019,10,Central Business District,49.28006694416764,-123.10579644345913,Autumn
148,Theft from Vehicle,2021,1,Kensington-Cedar Cottage,49.23979129845243,-123.05871110055178,Winter
149,Theft from Vehicle,2020,4,Renfrew-Collingwood,49.25815097345793,-123.04614181557491,Spring
150,Theft from Vehicle,2021,10,Central Business District,49.27820129794755,-123.12460600020198,Autumn
151,Theft from Vehicle,2018,6,South Cambie,49.25603736311098,-123.12719613497732,Spring
152,Other Theft,2020,1,Central Business District,49.28319236284741,-123.1191554972812,Winter
153,Theft from Vehicle,2021,7,Central Business District,49.29181382783152,-123.13000716981688,Summer
154,Theft from Vehicle,2020,1,Grandview-Woodland,49.2802377002448,-123.06171579379696,Winter
155,Break and Enter Commercial,2019,11,Fairview,49.27291540761905,-123.14072040627298,Autumn
156,Break and Enter Commercial,2021,11,Central Business District,49.28305575407971,-123.1225263696193,Autumn
157,Theft from Vehicle,2019,8,Renfrew-Collingwood,49.25908805159693,-123.03193922770112,Summer
158,Mischief,2018,11,Renfrew-Collingwood,49.23180678414175,-123.03423405049548,Autumn
159,Vehicle Collision or Pedestrian Struck (with Injury),2019,9,Central Business District,49.27666451545792,-123.1289310695596,Summer
160,Theft from Vehicle,2018,10,West End,49.28157700191119,-123.13951809900354,Autumn
161,Other Theft,2018,12,Dunbar-Southlands,49.24043277835857,-123.18628113117198,Autumn
162,Other Theft,2019,8,Central Business District,49.28170805569164,-123.1053637148072,Summer
163,Break and Enter Commercial,2021,4,Central Business District,49.279776759165856,-123.11054471204775,Spring
164,Break and Enter Residential/Other,2021,6,Fairview,49.26332474074752,-123.12406053401428,Spring
165,Mischief,2020,3,Strathcona,49.2761017425994,-123.09898263295226,Spring
166,Other Theft,2021,1,Central Business District,49.28039976685769,-123.10214333577012,Winter
167,Theft from Vehicle,2019,7,Strathcona,49.27671563214804,-123.09974668655244,Summer
168,Break and Enter Residential/Other,2018,6,Victoria-Fraserview,49.22275626441495,-123.05087318744756,Spring
169,Mischief,2021,7,Central Business District,49.28253946086779,-123.11814249232724,Summer
170,Other Theft,2019,2,Riley Park,49.25240001643761,-123.1009995471342,Winter
171,Mischief,2021,7,Marpole,49.20607174401121,-123.1172918339952,Summer
172,Mischief,2021,10,Victoria-Fraserview,49.22256803778099,-123.054932536819,Autumn
173,Other Theft,2019,4,Central Business District,49.28246772422974,-123.1182103167794,Spring
174,Other Theft,2018,11,Central Business District,49.28137272036163,-123.11972025412156,Autumn
175,Other Theft,2019,8,Central Business District,49.28047965964325,-123.1020442417518,Summer
176,Break and Enter Residential/Other,2021,6,Strathcona,49.27798911271515,-123.0848700571884,Spring
177,Other Theft,2022,6,Dunbar-Southlands,49.24779944928211,-123.1851776142018,Spring
178,Other Theft,2022,2,Marpole,49.20600167023309,-123.1422280072418,Winter
179,Mischief,2021,4,Central Business District,49.28862917358624,-123.12200591399116,Spring
180,Break and Enter Residential/Other,2020,4,Strathcona,49.283037967758055,-123.0936294491234,Spring
181,Theft from Vehicle,2018,8,Central Business District,49.27808976691324,-123.11888571700476,Summer
182,Break and Enter Residential/Other,2021,2,Victoria-Fraserview,49.23173748574429,-123.05010550685004,Winter
183,Mischief,2020,2,Hastings-Sunrise,49.2810974001976,-123.02996019774788,Winter
184,Other Theft,2021,4,Dunbar-Southlands,49.246431875848536,-123.19668853185584,Spring
185,Mischief,2021,10,Fairview,49.27060136205147,-123.13339042181224,Autumn
186,Theft from Vehicle,2021,9,Grandview-Woodland,49.27268075614381,-123.0676940635068,Summer
187,Theft from Vehicle,2018,4,Central Business District,49.27928561171668,-123.12087726853524,Spring
188,Theft from Vehicle,2020,9,Renfrew-Collingwood,49.25524497531244,-123.0265469326948,Summer
189,Theft from Vehicle,2021,1,Mount Pleasant,49.26380109802627,-123.10680129971269,Winter
190,Other Theft,2022,5,Central Business District,49.28252635860801,-123.1181221428289,Spring
191,Other Theft,2022,7,Kitsilano,49.268238126778535,-123.1578846681204,Summer
192,Other Theft,2022,10,West End,49.28375505323832,-123.12344860675404,Autumn
193,Break and Enter Commercial,2020,4,Strathcona,49.28387253613516,-123.08982118485852,Spring
194,Mischief,2022,8,Kerrisdale,49.230694100128254,-123.1939159492111,Summer
195,Theft from Vehicle,2022,7,Central Business District,49.28877696709875,-123.12285049468004,Summer
196,Mischief,2018,8,Central Business District,49.28127245369957,-123.10897615795248,Summer
197,Other Theft,2020,12,Renfrew-Collingwood,49.25816374910402,-123.03698586568773,Autumn
198,Theft from Vehicle,2018,11,Central Business District,49.282901086547135,-123.10688513067026,Autumn
199,Theft from Vehicle,2019,2,Strathcona,49.27109282019068,-123.08284145209,Winter
200,Theft from Vehicle,2022,7,West End,49.27782914934243,-123.13558646765485,Summer
201,Theft from Vehicle,2019,11,Central Business District,49.28176609234135,-123.11544778873092,Autumn
202,Theft of Vehicle,2020,10,Riley Park,49.244059499310815,-123.09035252305584,Autumn
203,Other Theft,2019,2,Kitsilano,49.27443716026327,-123.15259064510036,Winter
204,Theft from Vehicle,2020,9,Dunbar-Southlands,49.24521640868637,-123.1944059147504,Summer
205,Other Theft,2022,7,Sunset,49.21069229466819,-123.0992034981625,Summer
206,Break and Enter Commercial,2022,3,Strathcona,49.27992249746698,-123.09965606564072,Winter
207,Theft from Vehicle,2018,12,Central Business District,49.29141879809389,-123.12929839361556,Autumn
208,Break and Enter Commercial,2021,8,Central Business District,49.28038321674906,-123.1014652653148,Summer
209,Theft of Bicycle,2018,8,Fairview,49.26540239860609,-123.1450205780802,Summer
210,Mischief,2022,2,Marpole,49.216935737355946,-123.1130893123756,Winter
211,Mischief,2018,3,Mount Pleasant,49.26140488485779,-123.08179799357865,Winter
212,Mischief,2022,4,Fairview,49.26353112885727,-123.13175273978064,Spring
213,Vehicle Collision or Pedestrian Struck (with Injury),2020,6,Strathcona,49.28134430033458,-123.09928548732314,Spring
214,Break and Enter Residential/Other,2020,4,Shaughnessy,49.2492464110864,-123.14759176785942,Spring
215,Theft of Vehicle,2019,5,Mount Pleasant,49.26824119843398,-123.10275290003084,Spring
216,Theft from Vehicle,2018,9,Mount Pleasant,49.25777854609795,-123.11303449510798,Summer
217,Other Theft,2018,6,Central Business District,49.27868605069632,-123.12577700756675,Spring
218,Other Theft,2019,9,Central Business District,49.28048839807632,-123.11155690053675,Summer
219,Mischief,2018,5,Kitsilano,49.25825746194961,-123.15757613987866,Spring
220,Break and Enter Commercial,2019,5,Mount Pleasant,49.25839025774661,-123.09766128891876,Spring
221,Theft from Vehicle,2019,1,Central Business District,49.28353779859018,-123.10915290044396,Winter
222,Other Theft,2018,10,Central Business District,49.28029613919308,-123.10754684871016,Autumn
223,Theft from Vehicle,2019,7,Central Business District,49.28278677359702,-123.10586060157544,Summer
224,Theft from Vehicle,2019,8,West End,49.29234082838765,-123.13425525461776,Summer
225,Break and Enter Residential/Other,2019,8,Hastings-Sunrise,49.2628847983575,-123.04106250826598,Summer
226,Mischief,2020,12,Central Business District,49.284653682335,-123.1149397178826,Autumn
227,Theft of Bicycle,2018,8,Mount Pleasant,49.2631458028704,-123.1109525066854,Summer
228,Theft from Vehicle,2018,2,Sunset,49.22450472923415,-123.09257657814504,Winter
229,Theft from Vehicle,2019,9,West End,49.2814676411125,-123.12850691772518,Summer
230,Vehicle Collision or Pedestrian Struck (with Injury),2022,12,Kitsilano,49.26818259863711,-123.15751417509335,Autumn
231,Theft from Vehicle,2020,5,Central Business District,49.28344024816049,-123.11659044189668,Spring
232,Other Theft,2021,11,Mount Pleasant,49.26416302459774,-123.11469372262574,Autumn
233,Theft of Vehicle,2020,3,Fairview,49.25725687515448,-123.12713994906464,Spring
234,Theft from Vehicle,2022,9,West End,49.28260972709219,-123.1368914861792,Summer
235,Mischief,2018,6,Riley Park,49.2479915801704,-123.10318176881242,Spring
236,Theft from Vehicle,2019,5,Renfrew-Collingwood,49.257450274416925,-123.04930135675664,Spring
237,Other Theft,2021,9,Central Business District,49.28219907602065,-123.10798224213444,Summer
238,Other Theft,2018,11,Grandview-Woodland,49.26646150364491,-123.0696474087311,Autumn
239,Theft of Bicycle,2022,5,Victoria-Fraserview,49.22516959808243,-123.06576360055784,Spring
240,Theft of Vehicle,2022,10,West End,49.28560999337416,-123.13071868074098,Autumn
241,Mischief,2020,2,Hastings-Sunrise,49.28119565759015,-123.0465806920953,Winter
242,Break and Enter Residential/Other,2021,2,Sunset,49.21851325059248,-123.1054864358582,Winter
243,Break and Enter Commercial,2018,2,Central Business District,49.28108756653541,-123.10746758666131,Winter
244,Mischief,2019,6,Sunset,49.22858577086049,-123.10414026350983,Summer
245,Other Theft,2020,2,Central Business District,49.28354638224082,-123.116429852334,Winter
246,Mischief,2018,1,Sunset,49.21572548772528,-123.09779059297485,Winter
247,Mischief,2021,3,Hastings-Sunrise,49.27036936895669,-123.04369682880066,Winter
248,Other Theft,2018,2,Victoria-Fraserview,49.21243186234489,-123.06189659056147,Winter
249,Mischief,2018,8,Grandview-Woodland,49.26650979544141,-123.06382571010796,Summer
250,Theft from Vehicle,2021,10,Strathcona,49.27066870458958,-123.1005243128728,Autumn
251,Theft from Vehicle,2020,4,Central Business District,49.27862339926124,-123.108882495288,Spring
252,Theft from Vehicle,2018,2,Central Business District,49.28098520165974,-123.12243649784646,Winter
253,Theft of Vehicle,2018,8,Killarney,49.20806186652788,-123.0244594711117,Summer
254,Break and Enter Commercial,2020,2,Renfrew-Collingwood,49.23877023184841,-123.0512763119842,Winter
255,Other Theft,2020,10,Grandview-Woodland,49.27116755017863,-123.06956847390153,Autumn
256,Other Theft,2021,9,Killarney,49.20596464723666,-123.04120407190868,Summer
257,Theft from Vehicle,2018,3,Central Business District,49.28115097774851,-123.11619713177794,Winter
258,Break and Enter Residential/Other,2019,3,Central Business District,49.28264415997589,-123.10557307025964,Spring
259,Theft from Vehicle,2018,7,Central Business District,49.28322712669591,-123.10212173858984,Summer
260,Other Theft,2019,10,Central Business District,49.281299435716406,-123.09975057574094,Autumn
261,Theft from Vehicle,2022,4,Central Business District,49.28238256208888,-123.1020162355368,Spring
262,Theft from Vehicle,2018,4,Fairview,49.26150134925642,-123.12533629456634,Spring
263,Other Theft,2021,11,Central Business District,49.28182569821888,-123.11713860016307,Autumn
264,Other Theft,2020,12,Sunset,49.21069199319222,-123.09920889068216,Autumn
265,Other Theft,2018,9,Strathcona,49.27045530189939,-123.10000680653114,Summer
266,Other Theft,2018,8,Marpole,49.210381636122335,-123.11620984650745,Summer
267,Mischief,2021,2,Hastings-Sunrise,49.26843941603485,-123.0499385235009,Winter
268,Other Theft,2018,9,West End,49.28721649933176,-123.12877853769692,Autumn
269,Other Theft,2020,5,Strathcona,49.269802044093325,-123.0837633267756,Spring
270,Mischief,2019,12,Central Business District,49.281795827837264,-123.1250110074781,Winter
271,Break and Enter Commercial,2019,7,Mount Pleasant,49.26222349169508,-123.09111016787996,Summer
272,Other Theft,2020,3,Renfrew-Collingwood,49.25816374910402,-123.03698586568773,Winter
273,Other Theft,2020,8,Central Business District,49.28264339808062,-123.121760499431,Summer
274,Theft from Vehicle,2022,3,Riley Park,49.23462993104842,-123.10707510240536,Winter
275,Break and Enter Commercial,2019,7,Mount Pleasant,49.26245440410703,-123.09170363483209,Summer
276,Theft from Vehicle,2018,7,Central Business District,49.284028119166926,-123.1099206772792,Summer
277,Mischief,2020,11,Central Business District,49.27744314284824,-123.1219897985614,Autumn
278,Theft from Vehicle,2022,5,Central Business District,49.279529342173525,-123.10001448790538,Spring
279,Mischief,2019,1,Grandview-Woodland,49.26680425328603,-123.0649812115347,Winter
280,Mischief,2018,7,Central Business District,49.28016883726859,-123.12745652299074,Summer
281,Theft of Vehicle,2021,9,West End,49.28702573761267,-123.13598438641378,Summer
282,Other Theft,2021,7,Renfrew-Collingwood,49.26185437289896,-123.03782242938752,Summer
283,Other Theft,2020,7,West End,49.28047929850528,-123.12707859966096,Summer
284,Break and Enter Commercial,2022,9,Central Business District,49.28382368021726,-123.10578060444274,Summer
285,Other Theft,2018,5,West End,49.2843152348673,-123.1327492072493,Spring
286,Theft from Vehicle,2019,5,Central Business District,49.28356330428515,-123.11619271552232,Spring
287,Other Theft,2020,2,Central Business District,49.28032509821285,-123.12139319987811,Winter
288,Theft from Vehicle,2020,5,Mount Pleasant,49.25937145463571,-123.10516202253096,Spring
289,Theft from Vehicle,2022,7,Strathcona,49.27530046538432,-123.0919328870929,Summer
290,Theft from Vehicle,2018,8,West End,49.29219289936042,-123.13439839808566,Summer
291,Theft from Vehicle,2018,3,Central Business District,49.28292790087436,-123.106793995935,Spring
292,Break and Enter Residential/Other,2021,5,Kerrisdale,49.230752631098966,-123.1642861843161,Spring
293,Theft from Vehicle,2021,11,South Cambie,49.238732536030106,-123.11839289519732,Autumn
294,Mischief,2022,7,Kitsilano,49.25807553235313,-123.1578176617128,Summer
295,Mischief,2022,4,Mount Pleasant,49.27232592470155,-123.1019170856801,Spring
296,Other Theft,2021,8,Mount Pleasant,49.270757085358895,-123.10602593304262,Summer
297,Break and Enter Commercial,2021,7,Kitsilano,49.26712730192961,-123.14640067480128,Summer
298,Theft from Vehicle,2018,6,Fairview,49.26412850049787,-123.11494496018057,Spring
299,Mischief,2018,5,Central Business District,49.28337757673889,-123.11283486643674,Spring
300,Theft from Vehicle,2022,3,Central Business District,49.28295270896631,-123.12138512565024,Winter
301,Other Theft,2019,3,Central Business District,49.282010035625376,-123.12091273587328,Spring
302,Theft from Vehicle,2018,4,Central Business District,49.27945136730685,-123.10022435894383,Spring
303,Other Theft,2018,10,Strathcona,49.27194818067004,-123.09440458299,Autumn
304,Mischief,2022,7,Sunset,49.21823046538894,-123.09072391098336,Summer
305,Theft from Vehicle,2022,11,Central Business District,49.29147254442479,-123.12929256152732,Autumn
306,Mischief,2020,5,Strathcona,49.28104866353314,-123.08704612830644,Spring
307,Other Theft,2019,8,Renfrew-Collingwood,49.24178131752345,-123.03422414116102,Summer
308,Mischief,2020,12,Strathcona,49.28136778221171,-123.09835044086265,Autumn
309,Vehicle Collision or Pedestrian Struck (with Injury),2018,1,Renfrew-Collingwood,49.24003205413618,-123.03012759844589,Winter
310,Other Theft,2020,10,Strathcona,49.28184299843746,-123.09958228830574,Autumn
311,Mischief,2020,4,Kitsilano,49.2640016283989,-123.16500322877688,Spring
312,Theft of Vehicle,2018,4,Central Business District,49.28295270896631,-123.12138512565024,Spring
313,Theft from Vehicle,2018,12,Hastings-Sunrise,49.267528588447526,-123.0375061286549,Autumn
314,Other Theft,2019,11,Central Business District,49.279440232746886,-123.11337580876408,Autumn
315,Theft from Vehicle,2018,10,Central Business District,49.27754132154439,-123.12750240344435,Autumn
316,Break and Enter Residential/Other,2019,11,Hastings-Sunrise,49.27497442690611,-123.02489416592827,Autumn
317,Theft from Vehicle,2021,4,Hastings-Sunrise,49.26559073342768,-123.02840943295595,Spring
